Processing 236 SAP files with Claude extraction...
  [1/236] Processing NCT00044278... ✓ (ep:20 meth:0 cens:0 est:0)
  [2/236] Processing NCT00064428... ✓ (ep:2 meth:0 cens:0 est:2)
  [3/236] Processing NCT00139815... ✓ (ep:2 meth:0 cens:0 est:2)
  [4/236] Processing NCT00144846... ✓ (ep:1 meth:1 cens:0 est:0)
  [5/236] Processing NCT00197028... ✓ (ep:1 meth:0 cens:0 est:0)
  [6/236] Processing NCT00197119... ✓ (ep:3 meth:2 cens:0 est:0)
  [7/236] Processing NCT00224484... ✓ (ep:1 meth:1 cens:0 est:0)
  [8/236] Processing NCT00256854... ✓ (ep:1 meth:0 cens:0 est:0)
  [9/236] Processing NCT00263679... ✓ (ep:1 meth:1 cens:0 est:0)
  [10/236] Processing NCT00268203... ✓ (ep:7 meth:0 cens:0 est:0)
  [11/236] Processing NCT00268216... ✓ (ep:1 meth:0 cens:4 est:0)
  [12/236] Processing NCT00289185... ✓ (ep:11 meth:12 cens:0 est:0)
  [13/236] Processing NCT00306293... ✓ (ep:1 meth:1 cens:0 est:1)
  [14/236] Processing NCT00310388... ✓ (ep:0 meth:1 cens:1 est:0)
  [15/236] Processing NCT00312013... ✓ (ep:1 meth:3 cens:1 est:1)
  [16/236] Processing NCT00322335... ✓ (ep:11 meth:10 cens:0 est:0)
  [17/236] Processing NCT00334152... ✓ (ep:1 meth:1 cens:0 est:1)
  [18/236] Processing NCT00345579... ✓ (ep:8 meth:0 cens:0 est:0)
  [19/236] Processing NCT00354666... ✓ (ep:1 meth:0 cens:0 est:0)
  [20/236] Processing NCT00372112... ✓ (ep:1 meth:1 cens:0 est:0)
  [21/236] Processing NCT00381667... ✓ (ep:7 meth:0 cens:0 est:0)
  [22/236] Processing NCT00383123... ✓ (ep:3 meth:1 cens:0 est:0)
  [23/236] Processing NCT00410384... ✓ (ep:1 meth:0 cens:0 est:0)
  [24/236] Processing NCT00424476... ✓ (ep:1 meth:0 cens:0 est:1)
  [25/236] Processing NCT00444509... ✓ (ep:5 meth:5 cens:0 est:0)
  [26/236] Processing NCT00453479... ✓ (ep:16 meth:7 cens:0 est:0)
  [27/236] Processing NCT00459550... ✓ (ep:1 meth:1 cens:0 est:0)
  [28/236] Processing NCT00470834... ✓ (ep:1 meth:1 cens:2 est:1)
  [29/236] Processing NCT00502593... ✓ (ep:10 meth:6 cens:0 est:0)
  [30/236] Processing NCT00508365... ✓ (ep:2 meth:0 cens:0 est:0)
  [31/236] Processing NCT00515502... ✓ (ep:0 meth:2 cens:0 est:0)
  [32/236] Processing NCT00516139... ✓ (ep:1 meth:0 cens:0 est:0)
  [33/236] Processing NCT00522678... ✓ (ep:1 meth:1 cens:0 est:0)
  [34/236] Processing NCT00566020... ✓ (ep:0 meth:13 cens:0 est:0)
  [35/236] Processing NCT00586339... ✓ (ep:0 meth:9 cens:0 est:0)
  [36/236] Processing NCT00616928... ✓ (ep:7 meth:0 cens:0 est:0)
  [37/236] Processing NCT00622830... ✓ (ep:2 meth:0 cens:0 est:0)
  [38/236] Processing NCT00671216... ✓ (ep:1 meth:1 cens:0 est:0)
  [39/236] Processing NCT00674635... ✓ (ep:3 meth:0 cens:0 est:0)
  [40/236] Processing NCT00675090... ✓ (ep:1 meth:1 cens:0 est:0)
  [41/236] Processing NCT00693706... ✓ (ep:10 meth:4 cens:0 est:0)
  [42/236] Processing NCT00695305... ✓ (ep:3 meth:0 cens:0 est:0)
  [43/236] Processing NCT00711126... ✓ (ep:1 meth:1 cens:0 est:0)
  [44/236] Processing NCT00719043... ✓ (ep:8 meth:1 cens:0 est:0)
  [45/236] Processing NCT00721812... ✓ (ep:1 meth:1 cens:0 est:0)
  [46/236] Processing NCT00725712... ✓ (ep:12 meth:9 cens:0 est:1)
  [47/236] Processing NCT00725764... ✓ (ep:5 meth:3 cens:0 est:0)
  [48/236] Processing NCT00726323... ✓ (ep:1 meth:0 cens:0 est:1)
  [49/236] Processing NCT00731822... ✓ (ep:2 meth:2 cens:0 est:0)
  [50/236] Processing NCT00732472... ✓ (ep:16 meth:2 cens:0 est:0)
  [51/236] Processing NCT00733577... ✓ (ep:1 meth:1 cens:0 est:0)
  [52/236] Processing NCT00760617... ✓ (ep:11 meth:0 cens:0 est:0)
  [53/236] Processing NCT00772889... ✓ (ep:8 meth:0 cens:0 est:0)
  [54/236] Processing NCT00779766... ✓ (ep:4 meth:4 cens:0 est:0)
  [55/236] Processing NCT00784134... ✓ (ep:5 meth:5 cens:0 est:0)
  [56/236] Processing NCT00799903... 
